title,author
Beast Quest - Band 012 - Trillion Tyrann der Wildnis,"Blade, Adam"
Beast Quest - Band 011 - Arachnid - Meister der Spinnen,"Blade, Adam"
Bretonischer Stolz,"Bannalec, Jean-Luc"
Warrior Cats - 1/Band 3 - Geheimnis des Waldes,"Hunter, Erin"
Warrior Cats - 1/Band 2 - Feuer und Eis,"Hunter, Erin"
Die schönsten Märchen der Gebrüder Grimm,"Grimm, Gebrüder"
Die drei ??? Kids - Band 042 - Fussballgötter,"Pfeiffer, Boris"
Tod in stiller Nacht - Band 6,"Sten, Viveca"
Das Dornenkind - Band 5,"Bentow, Max"
Takeover,"Adler-Olsen, Jussi"
Mörderischer Freitag,"French, Nicci"
Monster Mia - Band 005 - und das Biest von Oddington,"Saddlewick, A.B"
Monster Mia - Band 004 - und die schräge Schulkontolle,"Saddlewick, A.B"
Sternenritter - Band 004 - Verrat auf dem Feuerstern,"Peinkofer, Michael"
Beast Quest - Band 018 - Sting Wächter der Festung,"Blade, Adam"
Beast Quest - Band 016 - Karmon Höllenhund des,"Blade, Adam"
Beast Quest - Band 015 - Narga Monster der Meere,"Blade, Adam"
Beast Quest - Band 017 - Tusko Herrscher der Wälder,"Blade, Adam"
Funklerwald,"Taschinski, Stefanie"
Snöfrid aus dem Wiesental,Schmachtl Andreas H.
Monster Mia - Band 008 - und der verflixte Flaschengeist,"Saddlewick, A.B"
Monster Mia - Band 003 - und die ungeheuerliche,"Saddlewick, A.B"
Monster Mia - Band 006 - und der teuflische,"Saddlewick, A.B"
Monster Mia - Band 007 - und das geheimnisvolle,"Saddlewick, A.B"
Beast Quest - Band 014 - Skoro Dämon der Wolken,"Blade, Adam"
Liliane Susewind - Ein kleiner Esel kommt gross raus,"Stewner, Tanya"
Die drei ??? Kids - Band 064 - In der Schatzhöhle,"Pfeiffer, Boris"
