cache_key,title,author,found,status,isbn,isbn_type,matched_title,matched_author,google_id
ronja raubertochter|astrid lindgren,Ronja Räubertochter,Astrid Lindgren,true,found,9783486808179,ISBN_13,"Astrid Lindgren, Ronja Räubertochter",Sonja Müller-Schamell,,,https://books.google.com/books/content?id=I0xvSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,I0xvSQAACAAJ
emma will s wissen|maja von vogel,Emma will`s wissen,Maja von Vogel,true,found,9783841500502,ISBN_13,Emma will's wissen,Maja von Vogel,,,https://books.google.com/books/content?id=CxUtuwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,CxUtuwAACAAJ
neues vom rauber hotzenplotz|otfried preussler,Neues vom Räuber Hotzenplotz,Otfried Preussler,true,found,9783464900987,ISBN_13,Neues vom Räuber Hotzenplotz : 5 - 10 Jahre ; nach Motiven des Buches von Otfried Preußler,,,,https://books.google.com/books/content?id=iGxpzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,iGxpzwEACAAJ
funf freunde band 052 im gruselschloss|enid blyton,Fünf Freunde - Band 052 - im Gruselschloss,Enid Blyton,false,not_found,,,,,,,,
die chemie des todes|simon beckett,Die Chemie des Todes,Simon Beckett,true,found,9783644204119,ISBN_13,Die Chemie des Todes,Simon Beckett,Fiction,Der fesselnde Auftakt der Thriller-Reihe um Dr. David Hunter führt in die faszinierende Welt der forensischen Anthropologie. Ein Muss für Fans von cleveren Thrillern. Sterben kann ewig dauern ... aber der menschliche Körper beginnt kaum fünf Minuten nach dem Tod zu verwesen – und wird dann zu einem gigantischen Festsc...,https://books.google.com/books/content?id=Q_5sAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Q_5sAgAAQBAJ
funf freunde band 059 jagen den ratselhaften|enid blyton,Fünf Freunde - Band 059 - jagen den rätselhaften,Enid Blyton,false,not_found,,,,,,,,
magic girls gefangen in der unterwelt|marliese arold,Magic Girls - Gefangen in der Unterwelt,Marliese Arold,false,isbn_missing,,,,,,,,
spielmacher sport krimi|andreas schluter,Spielmacher - Sport-Krimi,Andreas Schlüter,true,found,9783423713689,ISBN_13,Spielmacher - Fünf Asse,"Andreas Schlüter, Irene Margil",,"Das seien die Ängste einer Generation, die schon am eigenen Videorekorder verzweifele.",https://books.google.com/books/content?id=z5JePgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,z5JePgAACAAJ
abgetaucht sport krimi|andreas schluter,Abgetaucht - Sport-Krimi,Andreas Schlüter,true,found,9783423713627,ISBN_13,Fünf Asse,"Andreas Schlüter, Irene Margil",,"Das seien die Ängste einer Generation, die schon am eigenen Videorekorder verzweifele.",https://books.google.com/books/content?id=DTJdPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,DTJdPgAACAAJ
ein fall fur kommissar maroni|jurg obrist,Ein Fall für Kommissar Maroni,Jürg Obrist,true,found,9783423713610,ISBN_13,Ein Fall für Kommissar Maroni,Jürg Obrist,,Eine Sammlung von 40 peppig illustrierten Minikrimis zum Mitraten. Ab 9.,https://books.google.com/books/content?id=-OZSPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,-OZSPgAACAAJ
die drei band 149 der namenlose gegner|kari erlhoff,Die drei ??? - Band 149 - Der namenlose Gegner,Kari Erlhoff,false,not_found,,,,,,,,
