title,author,isbn,matched_title,matched_author,confidence,source
Die Tochter des Uhrmachers,Kate Morton,9783837142587,Die Tochter des Uhrmachers Kate Morton,"Morton, Kate",0.8594,dnb
Schwert und Krone - der junge Falke,Sabine Ebert,9783426520178,Schwert und Krone - der junge Falke Roman Sabine Ebert,"Ebert, Sabine",0.8324,dnb
Schwert und Krone - Zeit des Verrats,Sabine Ebert,9783732452316,Schwert und Krone - Zeit des Verrats Sabine Ebert,"Ebert, Sabine",0.8796,dnb
Schwert und Krone - Herz aus Stein,Sabine Ebert,9783426451557,Schwert und Krone - Herz aus Stein Roman Sabine Ebert,"Ebert, Sabine",0.8283,dnb
Rotkäppchens Traum,Max Bentow,9783844534801,Rotkäppchens Traum Max Bentow,"Bentow, Max",0.8245,dnb
"Ein Wort, um dich zu retten",Guillaume Musso,9783844923766,"Ein Wort, um dich zu retten Guillaume Musso","Musso, Guillaume",0.8235,dnb
Auf den Spuren des Geisterwolfs,Christopher Ross,9783764170950,Auf den Spuren des Geisterwolfs Christopher Ross,"Ross, Christopher",0.8386,dnb
Die Detektive vom Bhoot-Basar,Deepa Anappara,9783644003590,Die Detektive vom Bhoot-Basar Deepa Anappara,"Anappara, Deepa",0.8459,dnb
Hin und nicht weg,Lisa Keil,9783104909943,Hin und nicht weg Lisa Keil,"Keil, Lisa",0.8295,dnb
Nordlicht - Die Spur des Mörders,Anette Hinrichs,9783837150070,Nordlicht - Die Spur des Mörders - Anette Hinrichs,"Hinrichs, Anette",0.8421,dnb
Ihr Königreich,Jo Nesbø,9783844925937,Ihr Königreich Jo Nesbø,"Nesbø, Jo",0.8333,dnb
Fräulein Gold - Band 1 - Schatten und Licht,Anne Stern,9783644007796,Fräulein Gold: Schatten und Licht Anne Stern,"Stern, Anne",0.8354,dnb
Der Junge aus dem Wald,Harlan Coben,9783844539646,Der Junge aus dem Wald Harlan Coben,"Coben, Harlan",0.8289,dnb
Das Leben ist ein wilder Garten,Roland Buti,9783552072145,Das Leben ist ein wilder Garten Roman Roland Buti,"Buti, Roland",0.8313,dnb
Blackcoat Rebellion - Das Los der Drei,Aimée Carter,9783748850267,Blackcoat Rebellion - Das Los der Drei Aimée Carter,"Carter, Aimée",0.8853,dnb
Spiel um dein Schicksal,Stella Tack,9783473585670,Spiel um dein Schicksal Stella Tack,"Tack, Stella",0.8448,dnb
Mein Bruder heißt Jessica,John Boyne,9783733603519,Mein Bruder heißt Jessica John Boyne,"Boyne, John",0.8648,dnb
Silberdrache - Das Geheimnis der Drachenkönigin,Jessica Khoury,9783845840420,Silberdrache - Das Geheimnis der Drachenkönigin Jessica Khoury,"Khoury, Jessica",0.8929,dnb
Luftschlösser sind schwer zu knacken,Antje Leser,9783734804168,Luftschlösser sind schwer zu knacken Antje Leser,"Leser, Antje",0.8929,dnb
Tom Gates - Band 009 - Läuft! (Wohin eigentlich?),Liz Pichon,9783731393207,Tom Gates. Läuft! (Wohin eigentlich?) Liz Pichon,"Pichon, Liz",0.8214,dnb
"Die drei !!! - Betrug, Baguette und ganz viel Paris",Henriette Wich,9783440165324,"Die drei !!! - Betrug, Baguette und ganz viel Paris Henriette Wich","Wich, Henriette",0.8908,dnb
"Die drei !!! - Tatort, Tee und ganz viel London",Kari Erlhoff,9783440165300,"Die drei !!! - Tatort, Tee und ganz viel London Kari Erlhoff","Erlhoff, Kari",0.8952,dnb
Die Olchis im Land der Ritter,Erhard Dietl,9783789121210,Die Olchis im Land der Ritter Erhard Dietl,"Dietl, Erhard",0.8627,dnb
Bibi & Tina - im Land der weißen Pferde,Stephan Gürtler,9783959182225,Bibi & Tina - Im Land der weißen Pferde Stephan Gürtler,"Gürtler, Stephan",0.8605,dnb
Schwert und Krone - Preis der Macht,Sabine Ebert,9783426525418,Schwert und Krone - Preis der Macht Roman Sabine Ebert,"Ebert, Sabine",0.8324,dnb
Meine teuflisch gute Freundin,Hortense Ullrich,9783733607487,Meine teuflisch gute Freundin Hortense Ullrich,"Ullrich, Hortense",0.8300,dnb
Der Schattenmörder,Alex North,9783837154085,Der Schattenmörder Alex North,"North, Alex",0.8245,dnb
Das Geheimnis von Zimmer 622,Joël Dicker,9783844926477,Das Geheimnis von Zimmer 622 Joël Dicker,"Dicker, Joël",0.8676,dnb
Die Nacht in der Schule,Anja Janotta,9783407823878,Die Nacht in der Schule Anja Janotta,"Janotta, Anja",0.8347,dnb
Das Kind vom anderen Stern,Ross Welford,9783649640110,Das Kind vom anderen Stern Ross Welford,"Welford, Ross",0.8500,dnb
Durch die Nacht und alle Zeiten,Eva Völler,9783414825957,Durch die Nacht und alle Zeiten Eva Völler,"Völler, Eva",0.8870,dnb
Das Grand Hotel - Die nach den Sternen greifen,Caren Benedikt,9783837150384,Das Grand Hotel - Die nach den Sternen greifen Caren Benedikt,"Benedikt, Caren",0.8908,dnb
Die Frauen von Kilcarrion,Jojo Moyes,9783499020353,Die Frauen von Kilcarrion Jojo Moyes,"Moyes, Jojo",0.8648,dnb
Die Glasperlenmädchen,Lisa Wingate,9783837155990,Die Glasperlenmädchen Lisa Wingate,"Wingate, Lisa",0.8227,dnb
Das Versprechen der australischen Schwestern (3),Ulrike Renk,9783985078592,Das Versprechen der australischen Schwestern Ulrike Renk,"Renk, Ulrike",0.9118,dnb
Nordlicht - Die Tote im Küstenfeuer,Anette Hinrichs,9783837152340,Nordlicht - Die Tote im Küstenfeuer Anette Hinrichs,"Hinrichs, Anette",0.8537,dnb
Nordlicht - die Tote am Strand,Anette Hinrichs,9783985076468,Nordlicht - die Tote am Strand,"Hinrichs, Anette",1.0000,dnb
Das Wunder eines Augenblicks,Nicholas Sparks,9783837173413,Das Wunder eines Augenblicks - - Nicholas Sparks,"Sparks, Nicholas",0.8333,dnb
"Eine Geschichte, die uns verbindet",Guillaume Musso,9783844926842,"Eine Geschichte, die uns verbindet Guillaume Musso","Musso, Guillaume",0.8537,dnb
Das Grand Hotel - Die mit dem Feuer spielen,Caren Benedikt,9783837154627,Das Grand Hotel - Die mit dem Feuer spielen Caren Benedikt,"Benedikt, Caren",0.8840,dnb
Fräulein Gold - Band 3 - der Himmel über der Stadt,Anne Stern,9783644007826,Fräulein Gold: Der Himmel über der Stadt Anne Stern,"Stern, Anne",0.8594,dnb
Nichts bleibt begraben,Harlan Coben,9783844546798,Nichts bleibt begraben Harlan Coben,"Coben, Harlan",0.8289,dnb
Das Rösslein Hü fährt wieder in die Welt,Franz Caspar,9783545310056,Das Rösslein Hü fährt wieder in die Welt von Franz Caspar,"Caspar, Franz",0.8686,dnb
Die Olchis - oh wie schön ist Schmuddelfing,Erhard Dietl,9783751200967,Die Olchis - oh wie schön ist Schmuddelfing Erhard Dietl,"Dietl, Erhard",0.8974,dnb
