title,author,isbn,isbn_type,matched_title,matched_author,genre,short_description,cover_url,google_id,status,from_cache
Aufregung um Knuffel,Berit Bach,9783760749808,ISBN_13,Lotta & Knuffel,Berit Bach,,,https://books.google.com/books/content?id=9XTJQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,9XTJQgAACAAJ,found,false
Endlich berühmt ! Wie Greg zum Filmstar wurde,Jeff Kinney,9783833936395,ISBN_13,Gregs Filmtagebuch - Endlich berühmt!,Jeff Kinney,Juvenile Fiction,"Wer sich immer schon mal gefragt hat, wie ein Film gemacht wird, der ist nicht allein. Dem Autor und Illustrator Jeff Kinney gings nicht anders. Als die 20th Century Fox in Hollywood seinen Bestseller GREGS TAGEBUCH zu einem Realfilm umsetzte, war die Chance gekommen. Licht ins Dunkel zu bringen. Jeff Kinney konnte mi...",https://books.google.com/books/content?id=Ef3LSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Ef3LSAAACAAJ,found,false
Stromschnelle - Sport - Krimi,Andreas Schlüter,9783423714136,ISBN_13,Stromschnelle - Fünf Asse,Andreas Schlüter,,"Seine Kinderbücher sieht er deshalb auch als eine längst überfällige Kampfansage an die These, Computer würden die Kinder vereinsamen lassen, und ""wer Computer spiele, lese nicht"". Das seien die Ängste einer Generation, die schon am eigenen Videorekorder verzweifele.",https://books.google.com/books/content?id=50DhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,50DhQgAACAAJ,found,false
Die Rätsel der Alhambra,Markus Spang,9783423714150,ISBN_13,Die Rätsel der Alhambra,Markus Spang,,"In ihrem neuen Rätselabenteuer zum Mitraten folgen Anna, Fred und Opa Drechsel während des Spanienurlaubs einem vertrackten Rätselparcours durch die bekannte Maurenburg Alhambra. Für Mädchen und Jungs ab 10.",https://books.google.com/books/content?id=Kf3PQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Kf3PQgAACAAJ,found,false
Herr Rot in Not,Salah Naoura,9783791514253,ISBN_13,Herr Rot in Not,Salah Naoura,,Dennis Mutter will ihrem blöden neuen Freund einen knallroten Super-Flausch-Bademantel zu Weihnachten schenken und ausgerechnet er soll den auch noch vom Laden abholen. Auf dem Nachhauseweg findet er einen halbnackten alten Mann im Schnee - und der braucht den Mantel doch viel dringender ...,https://books.google.com/books/content?id=TK3LSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,TK3LSAAACAAJ,found,false
Leichenblässe,Simon Beckett,9783644200418,ISBN_13,Leichenblässe,Simon Beckett,Fiction,"Sein dritter Fall führt den forensischen Anthropologen David Hunter zu einem grausamen Serienmörder in den Smoky Mountains ... Bei seinem letzten Einsatz ist der forensische Anthropologe David Hunter nur knapp dem Tod entronnen. Von einer vollständigen Genesung ist er weit entfernt und zweifelt, ob er seinem Beruf noc...",https://books.google.com/books/content?id=4AFtAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,4AFtAgAAQBAJ,found,false
Koalaträume,Katja Brandis,9783401809472,ISBN_13,Koalaträume,Katja Brandis,Young Adult Fiction,"Katja Brandis reist in ihrer Geschichte ans andere Ende der Welt - und geradewegs in ein unglaubliches Abenteuer ... Die angehende Zootierpflegerin Juli wird nach Australien eingeladen und darf dort vier Wochen lang in einem Wildpark mit Koalas, Kängurus und Emus arbeiten. Immer wieder ist es der junge Aboriginal Coli...",https://books.google.com/books/content?id=9poMEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,9poMEAAAQBAJ,found,false
Alles Lüge,Anatol Feid,9783401027623,ISBN_13,Alles Lüge,Anatol Feid,,,https://books.google.com/books/content?id=FcX-ewEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,FcX-ewEACAAJ,found,false
3 Drachengeschichten,Patricia Schröder,9783570139288,ISBN_13,3 Drachengeschichten,Patricia Schröder,,Drei überaus witzig erzählte neue Drachengeschichten nach dem bewährten Vor- und Selbstlesekonzept der Reihe. Ab 6.,https://books.google.com/books/content?id=tSo3AwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,tSo3AwEACAAJ,found,false
Sophie im Land der Zauberponys,Patricia Schröder,9783641041878,ISBN_13,"Erst ich ein Stück, dann du - Sophie im Land der Zauberponys",Patricia Schröder,Juvenile Fiction,"Die erfolgreiche Kinderbuchreihe mit bewährtem Konzept für das gemeinsame Lesenlernen und –üben Sophie gerät auf wundersame Weise in das magische Feenreich und trifft dort auf das Zauberpony Perlauge. Von ihm erfährt das Mädchen, dass es nicht zufällig in dieser funkelnden Wunderwelt gelandet ist: Denn das Feenreich i...",https://books.google.com/books/content?id=omak4hNokUQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,omak4hNokUQC,found,false
Maskottchen,Mark Kurzem,9783502151548,ISBN_13,Maskottchen,Mark Kurzem,Fathers and sons,,,kBHvPAAACAAJ,found,false
Verwesung,Simon Beckett,9783839892541,ISBN_13,Verwesung (Jubiläumsaktion),Simon Beckett,,,https://books.google.com/books/content?id=uQHLsgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,uQHLsgEACAAJ,found,false
Die Schatzinsel,Robert Louis Stevenson,9798568344971,ISBN_13,Die Schatzinsel,Robert Louis Stevenson,,Die Schatzinsel by Robert Louis Stevenson,https://books.google.com/books/content?id=t-YMzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,t-YMzgEACAAJ,found,false
Nils Holgersson,Selma Lagerlöf,9783464800850,ISBN_13,Nils Holgersson,,,,https://books.google.com/books/content?id=AfxjPQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,AfxjPQAACAAJ,found,false
Lola Schwesterherz,Isabel Abedi,9783785556764,ISBN_13,Lola Schwesterherz,Isabel Abedi,Children's stories,"Lola ist ganz aus dem Häuschen, weil ihre Mutter ein Baby erwartet. Sie freut sich riesig auf den kleinen Bruder und bemüht sich um einen Babysitter-Job, um den Umgang mit äJungs-Babysä zu üben. Schliesslich will sie alles richtig machen, wenn der Kleine endlich da ist ... Ab 9.",https://books.google.com/books/content?id=b-zlSAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,b-zlSAAACAAJ,found,false
Wolfenblut,Di Toft,9783551520227,ISBN_13,Wolfenblut,Di Toft,Juvenile Fiction,Die telepathisch verbundenen Freunde Woody und Nat sind in Frankreich auf Vampirjagd. Unterstützt werden sie durch eine Zirkustruppe nicht menschlicher Wesen und die Agentin Alex. Doch die Vampire sind in der Übermacht und auch ihr Erzfeind Lucas Scale gibt nicht auf. Ab 11.,https://books.google.com/books/content?id=_813AwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,_813AwAAQBAJ,found,false
MOMO,Michael Ende,9783522621113,ISBN_13,Momo,Michael Ende,Juvenile Fiction,"Weltbestseller, Klassiker, Kultbuch – für Mädchen und Jungen ab 12 Jahren Momo, ein kleines struppiges Mädchen, lebt am Rande einer Großstadt in den Ruinen eines Amphitheaters. Sie besitzt nichts als das, was sie findet oder was man ihr schenkt, und eine außergewöhnliche Gabe: Sie hört Menschen zu und schenkt ihnen Ze...",https://books.google.com/books/content?id=ryE3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,ryE3DwAAQBAJ,found,false
Anton und das geheimnis im Finsterwald,Patricia Schröder,9783570139240,ISBN_13,Anton und das Geheimnis im Finsterwald,Patricia Schröder,,Der 9-jährige Anton wohnt in den Ferien wieder bei seiner Tante Thea in deren windschiefem Haus am Waldrand. Doch diesmal erscheint Anton der Wald bedrohlich. Sind die gruseligen Geschichten über Gnunome und Werwölfe der 7-jährigen Janna schuld? Für gemeinsames Vor- und Selberlesen ab 6.,https://books.google.com/books/content?id=THUckgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,THUckgEACAAJ,found,false
Ronja Räubertochter,Sonja Müller-Schamell,9783486808179,ISBN_13,"Astrid Lindgren, Ronja Räubertochter",Sonja Müller-Schamell,,,https://books.google.com/books/content?id=I0xvSQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,I0xvSQAACAAJ,found,true
