title,author
Familienausflug Nein Danke,Sabine Zett
Die Nordseedetektive - Band 002 - Das Gespensterhotel,Bettina Göschl
PAX - Der Höllenhund,Asa Larsson
PAX - Der Fluch,Asa Larsson
Gregs Tagebuch - Band 009 - Böse Falle,Jeff Kinney
Die drei ??? Kids - Band 067 - Der goldene Drache,Boris Pfeiffer
Luca wird der Klassenheld,Patricia Schröder
Sternenschweif - Band 048 - Geheimnis der Mondsteine,Linda Chapman
Der kleine Drache Kokosnuss - und das Vampir-,Ingo Siegner
Der kleine Drache Kokosnuss - Band 016 - bei den,Ingo Siegner
Ponyherz - Band 007 - Ein Wildpferd auf dem Pausenhof,Usch Luhn
Tino und die Zeitmaschine,Fischer-Hunold Alexandra
Globi - Band 013 - erlebt Paris,Alfred Bruggmann
Globi - Band 070 - Globis Zoo,Peter Heinzer
FUSSBALLGESCHICHTEN,Michaela Hanauer
Robin Hood,Angie Westhoff
"Ein Fall für Kwiatkowski - Band 009 - Hunde, Hüte und",Jürgen Banscherus
Sternenritter - Band 005 - Das Monster aus Metall,Michael Peinkofer
Monster Mia - Band 009 - und die gefrässigen Schoko-,A.B Saddlewick
Beast Quest - Band 020 - Ecor Hufe der Zerstörung,Adam Blade
Beast Quest - Band 021 - Tarax Klauen der Finsternis,Adam Blade
Beast Quest - Band 024 - Pantrax Pranken der Hölle,Adam Blade
Beast Quest - Band 023 - Drako Atem des Zorn,Adam Blade
Beast Quest - Band 019 - Necro Tentakel des Grauens,Adam Blade
Weil ich so bin,Christine Fehér
Dork Diaries - Nikkis schlillernde Filmkarriere,Rachel Russell
Die Glücksbäckerei - Band 003 - Die magische,Kathryn Littlewood
Die Glücksbäckerei - Band 002 - Die magische Prüfung,Kathryn Littlewood
Die drei !!! - Band 060 - Liebes Chaos,Maya Vogel
Die drei !!! - Band 059 - Das geheime Parfum,Mira Sol
Die drei !!! - Band 055 - Wildpferd in Gefahr,Mira Sol
PAX - Das Geisterkind,Asa Larsson
Die Glücksbäckerei - Band 004 - Die magische,Kathryn Littlewood
Origin - Schattenfunke,Jennifer L. Armentrout
Die Sturmschwester,Lucinda Riley
Papierjunge,Kristina Ohlsson
Erbe und Schicksal,Jeffrey Archer
Wer Wind sät,Nele Neuhaus
Wenn du mich siehst,Nicholas Sparks
Nacht im Central Park,Guillaume Musso
Tiefe Wunden,Nele Neuhaus
Alea Aquarius - Band 02 - Die Farben des Meeres,Tanya Stewner
Endgame - Die Auserwählten,James Frey
Die drei ??? - und der letzte Song - Band 183,Ben Nevis
Die drei !!! - Band 058 - Gorilla in Not,Heger Ann-Katrin
Heartbeats - Meine Zeit mit dir,Shelley Coriell
Spirit Animals - Der Feind erwacht,Brandon Mull
French Summer,Marian Smet De
Cornwall College - Band 001 - Was verbirgt Cara,Annika Harper
Gryphony - Im Bann des Greifen,Michael Peinkofer
"Tom Gates - Band 008 - Bitte nicht stören, ein Genie bei",Liz Pichon
Dork Diaries - Mein dorkaliziöses Tagebuch,Rachel Russell
Endgame - die Hoffnung,James Frey
Anima - schwarze Seele weisses Herz,Kim Kestner
Die Glücksbäckerei - Band 001 - Das magische,Kathryn Littlewood
Selection,Kiera Cass
Bretonische Flut,Jean-Luc Bannalec
Vierundzwanzig Stunden,Guillaume Musso
Die Entscheidung,Charlotte Link
Der Traummacher - Band 6,Max Bentow
Das magische Baumhaus junior - Band 008 - Die,Mary Pope Osborne
Das magische Baumhaus junior - Band 006 - Verborgen,Mary Pope Osborne
Liliane Susewind - Band 005 - Extra-Punkte für den,Tanya Stewner
Die Piratenschiffgäng - Der fiese Admiral Hammerhäd,Peter Kränzle
Der magische Blumenladen - Band 004 - Die Reise zu,Gina Mayer
Petronella Apfelmus - Verhext und festgeklebt,Sabine Städing
Die drei ??? Kids - Band 068 - Chaos im Dunkeln,Ulf Blanck
Abenteuer am stürmischen See,Manfred Mai
Ein Nilpferd in der Badewanne,Saskia Hula
Die drei ??? Kids - Band 069 - die Rätselfalle,
Nele - Band 016 - und die Glücksschokolade,Usch Luhn
"Fussballhaie, Duell im Fussballcamp",Andreas Schlüter
Fünf Freunde - Band 058 - und die falsche Prinzessin,Enid Blyton
